conversation_id,user_id,anon_user_id,account_id,start_ts,end_ts,channel,session_status,abandonment_flag,abandonment_ts,abandonment_turn,abandonment_flow_node,dropoff_reason_code,total_turns,user_message_count,bot_message_count,avg_bot_latency_ms,fallback_count,initial_intent,top_intent,top_intent_conf,flow_id,flow_version,widget_version,widget_load_ms,device_type,browser,geo_country,client_error_count,transfer_requested_ts,transfer_completed_ts,time_to_agent_sec,kb_suggestion_shown,kb_article_clicked,csat_rating,predicted_abandon_prob,ingestion_ts
conv_8db821a3d7da,,anon_0e9bc7981c,acct_946,23:52.0,46:53.0,web_chat,escalated,FALSE,,,,,9,3,6,373.8,1,billing_query,billing_query,0.617,flow_12,v1.1,w1.1,279,mobile,Chrome,DE,0,48:26.0,51:05.0,159,FALSE,FALSE,1,0.145,30:08.0
conv_a1d0f77d979e,,anon_fb8b040152,acct_228,53:02.0,55:23.0,sms,abandoned,TRUE,01:53.0,5,flow_node_39,FALLBACK,7,3,4,150.4,0,billing_query,billing_query,0.787,flow_13,v1.1,w1.1,1173,desktop,Chrome,ZA,0,,,,FALSE,FALSE,1,0.35,01:55.0
conv_474c1a1acf11,user_1506,anon_e020660932,acct_1200,12:02.9,27:18.9,bot,timed_out,FALSE,,,,,5,7,-2,98.3,2,order_status,order_status,0.534,flow_37,v1.1,w1.1,205,desktop,Chrome,US,0,,,,TRUE,FALSE,1,0.277,15:35.9
conv_06d46f046d88,user_52,anon_d63f8409e2,acct_274,20:23.6,14:07.6,web_chat,completed,FALSE,,,,,12,4,8,349.6,0,product_info,product_info,0.76,flow_6,v1.0,w1.0,226,desktop,Chrome,AE,0,,,,TRUE,FALSE,,0.04,24:52.6
conv_b6c432e0fb69,user_1378,anon_eab5e24440,,41:39.9,25:24.9,web_chat,abandoned,TRUE,05:04.9,9,flow_node_36,CLIENT_ERROR,6,5,1,478.4,0,greeting,greeting,0.847,flow_1,v1.0,w2.0,1117,desktop,Chrome,SG,1,,,,FALSE,FALSE,1,0.712,46:37.9
conv_5066364739e0,user_2729,anon_2a3ae244d2,,59:11.3,04:17.3,web_chat,completed,FALSE,,,,,13,1,12,85.8,0,return_request,return_request,0.883,flow_50,v2.0,w2.0,397,desktop,Safari,IN,0,,,,FALSE,FALSE,,0.284,05:18.3
conv_2415023fe6d7,,anon_f88d686e1f,acct_92,02:30.4,16:54.4,web_chat,completed,FALSE,,,,,9,3,6,318.9,1,billing_query,billing_query,0.81,flow_5,v2.1,w1.0,875,mobile,Safari,AE,0,,,,TRUE,FALSE,1,0.375,07:10.4
conv_ff360ef9c137,user_2340,anon_f13c6c525f,acct_858,24:36.5,07:46.5,whatsapp,completed,FALSE,,,,,5,2,3,617.8,0,greeting,greeting,0.854,flow_43,v2.0,w1.0,29,mobile,Chrome,IN,0,,,,FALSE,FALSE,2,0.48,27:29.5
conv_757cf60bb8e4,user_73,anon_a3343d2f37,,12:01.3,09:31.3,web_chat,completed,FALSE,,,,,3,3,0,290.8,0,return_request,return_request,0.783,flow_1,v2.0,w1.1,838,mobile,Chrome,US,0,,,,FALSE,FALSE,5,0.264,13:33.3
conv_0df37f268fe1,user_748,anon_74afd66216,,55:36.7,25:49.7,web_chat,completed,FALSE,,,,,6,4,2,50,1,billing_query,billing_query,0.403,flow_49,v2.0,w1.0,172,mobile,Chrome,AU,0,,,,FALSE,FALSE,1,0.05,55:53.7
conv_e2ecc59fecf1,,anon_b853c8dd1d,,54:25.0,54:10.0,whatsapp,completed,FALSE,,,,,9,2,7,531.4,0,product_info,product_info,0.881,flow_33,v2.0,w2.0,482,desktop,Chrome,AE,0,,,,FALSE,FALSE,4,0.48,59:32.0
conv_009ff2c4a83d,user_45,anon_d3d16375ea,acct_430,42:10.6,30:26.6,web_chat,completed,FALSE,,,,,4,2,2,273.2,0,greeting,greeting,0.912,flow_35,v1.1,w2.0,1038,desktop,Chrome,IN,0,,,,TRUE,FALSE,4,0.144,44:57.6
conv_a02bc9688897,user_2952,anon_f3cfb7091c,acct_968,18:30.2,59:04.2,web_chat,timed_out,FALSE,,,,,6,4,2,283.2,1,product_info,product_info,0.794,flow_12,v2.0,w1.1,956,desktop,Chrome,US,0,,,,FALSE,FALSE,5,0.376,18:48.2
conv_e20523e8accd,user_1555,anon_9a0cf0fc2c,,47:50.1,21:41.1,web_chat,completed,FALSE,,,,,11,4,7,485.4,2,billing_query,billing_query,0.913,flow_37,v1.0,w1.0,427,mobile,Chrome,US,0,,,,FALSE,FALSE,1,0.331,56:32.1
conv_d57b1c4797a8,user_1633,anon_9326809227,acct_720,58:41.0,14:40.0,web_chat,abandoned,TRUE,11:44.0,4,flow_node_96,USER_LEFT,4,2,2,422.9,1,billing_query,billing_query,0.915,flow_5,v1.1,w1.1,325,tablet,Chrome,ZA,0,,,,FALSE,FALSE,,0.44,03:43.0
conv_9f4149d97f0a,user_453,anon_d8e6ed1b08,acct_690,58:26.9,23:43.9,bot,completed,FALSE,,,,,4,4,0,264.8,0,greeting,greeting,0.981,flow_24,v2.1,w1.1,640,mobile,Chrome,GB,0,,,,FALSE,FALSE,1,0.317,59:58.9
conv_29dbae926ba1,user_2079,anon_5aff9a1508,acct_126,35:03.1,37:14.1,web_chat,timed_out,FALSE,,,,,9,1,8,449.7,0,complaint,complaint,0.759,flow_41,v2.1,w1.0,442,desktop,Chrome,BR,0,,,,FALSE,FALSE,2,0.207,43:50.1
conv_2ca5dac80079,user_2825,anon_d8c4836b1b,acct_695,12:19.1,38:54.1,whatsapp,timed_out,FALSE,,,,,2,3,-1,404.4,0,return_request,return_request,0.639,flow_45,v2.1,w1.0,1140,desktop,Chrome,SG,0,,,,TRUE,FALSE,1,0.629,15:31.1
conv_67e7a62fb2fd,user_1450,anon_093750e4c8,,54:52.7,59:06.7,whatsapp,abandoned,TRUE,57:38.7,7,flow_node_99,CLIENT_ERROR,10,1,9,59.5,0,complaint,complaint,0.728,flow_7,v2.1,w1.0,958,desktop,Safari,GB,0,,,,FALSE,FALSE,,0.575,04:11.7
conv_b851bb07c821,user_390,anon_b66497be89,,35:52.7,44:16.7,web_chat,abandoned,TRUE,59:57.7,9,flow_node_56,USER_LEFT,8,1,7,220.5,0,billing_query,billing_query,0.844,flow_50,v1.0,w2.0,616,mobile,Safari,IN,0,,,,FALSE,FALSE,,0.384,42:49.7
conv_82b80a73ca4c,user_377,anon_9eaeef0c08,,06:02.7,27:07.7,whatsapp,completed,FALSE,,,,,3,2,1,612.3,0,greeting,greeting,0.733,flow_18,v1.0,w1.0,925,desktop,Chrome,GB,0,,,,FALSE,FALSE,4,0.212,11:31.7
conv_441315d1c66b,,anon_9f7502d699,acct_221,30:54.7,30:49.7,web_chat,handed_off,FALSE,,,,,9,7,2,50,0,billing_query,billing_query,0.815,flow_8,v1.1,w2.1,592,desktop,Chrome,SG,0,00:05.7,06:04.7,359,TRUE,TRUE,,0.344,35:32.7
conv_4e8717175130,,anon_a8094e1ef7,acct_546,02:23.5,14:29.5,web_chat,escalated,FALSE,,,,,7,3,4,569.7,0,product_info,product_info,0.75,flow_8,v3.0,w1.0,1296,desktop,Edge,US,0,25:33.5,30:31.5,298,FALSE,FALSE,,0.096,12:07.5
conv_a71f9af7cd85,user_2771,anon_d3f99af9a9,acct_643,28:52.7,13:31.7,bot,timed_out,FALSE,,,,,8,4,4,427.4,0,password_reset,password_reset,0.592,flow_19,v1.0,w1.1,725,desktop,Chrome,GB,0,,,,TRUE,FALSE,1,0.549,29:29.7
conv_2eef1ba224f2,,anon_d102a9aa9d,,13:23.7,20:14.7,sms,abandoned,TRUE,30:46.7,2,flow_node_15,TIMEOUT,10,1,9,167.3,0,greeting,greeting,0.943,flow_13,v1.1,w1.1,304,mobile,Chrome,US,0,,,,FALSE,FALSE,3,0.6,21:20.7
conv_bd051e69d8c4,,anon_56e9914b26,,27:39.2,03:14.2,bot,completed,FALSE,,,,,9,3,6,134.4,0,billing_query,billing_query,0.913,flow_2,v1.1,w2.1,391,mobile,Safari,DE,1,,,,FALSE,FALSE,2,0.651,37:00.2
conv_dc132e21b8f0,user_653,anon_a2922e5dd5,acct_214,25:00.6,35:53.6,web_chat,escalated,FALSE,,,,,10,4,6,65.6,1,complaint,complaint,0.808,flow_32,v1.0,w1.1,73,desktop,Firefox,US,0,47:43.6,52:50.6,307,FALSE,FALSE,4,0.208,32:34.6
conv_0bcf9e8ba70c,user_1718,anon_119ba47519,acct_802,05:23.4,04:50.4,web_chat,completed,FALSE,,,,,6,3,3,364.9,0,password_reset,password_reset,0.744,flow_35,v2.1,w1.0,472,desktop,Chrome,US,0,,,,TRUE,FALSE,2,0.181,08:22.4
conv_dbb15d42f2c9,user_1253,anon_c15a9a66cc,acct_454,52:35.2,01:04.2,whatsapp,completed,FALSE,,,,,9,1,8,383.1,0,greeting,greeting,0.787,flow_39,v2.1,w1.1,450,mobile,Safari,US,0,,,,TRUE,FALSE,2,0.508,58:08.2
conv_eeef538f3f41,user_2026,anon_c40d08b504,,32:42.0,29:04.0,web_chat,completed,FALSE,,,,,8,1,7,50,0,product_info,product_info,0.957,flow_3,v1.0,w1.0,328,desktop,Chrome,US,0,,,,FALSE,FALSE,,0.209,38:19.0
conv_0b267e6f1bed,user_2894,anon_a7eadfabdc,acct_453,34:09.5,11:47.5,web_chat,timed_out,FALSE,,,,,10,4,6,62,2,product_info,product_info,0.803,flow_34,v1.0,w1.1,672,desktop,Chrome,US,0,,,,TRUE,FALSE,,0.051,34:45.5
conv_717be61f5f80,user_1054,anon_ac3d68d515,acct_54,47:30.6,47:49.6,web_chat,completed,FALSE,,,,,6,2,4,455.3,0,order_status,order_status,0.478,flow_10,v2.0,w2.0,652,desktop,Safari,SG,0,,,,TRUE,TRUE,5,0.512,53:53.6
conv_82788b0238b4,user_2864,anon_23cfa4914f,,50:35.4,13:24.4,web_chat,completed,FALSE,,,,,8,5,3,486.4,0,order_status,order_status,0.857,flow_36,v1.1,w1.0,1167,desktop,Chrome,BR,0,,,,FALSE,FALSE,,0.227,55:54.4
conv_50372a4eefcc,user_66,anon_604e560f27,acct_631,55:18.3,26:02.3,bot,abandoned,TRUE,57:55.3,5,flow_node_29,LONG_BOT_LATENCY,4,7,-3,322.2,2,billing_query,billing_query,0.732,flow_16,v1.0,w1.1,150,desktop,Chrome,ZA,0,,,,FALSE,FALSE,1,0.388,57:21.3
conv_442ac0016a5e,user_219,anon_1f64dc1238,,46:12.9,44:51.9,web_chat,abandoned,TRUE,53:49.9,1,flow_node_55,LONG_QUEUE_WAIT,9,2,7,189.1,0,product_info,product_info,0.788,flow_17,v1.1,w1.0,933,mobile,Chrome,DE,0,,,,FALSE,FALSE,3,0.376,51:55.9
conv_8538bd7c21ab,user_732,anon_9f045f03a6,,18:18.8,31:31.8,whatsapp,abandoned,TRUE,27:10.8,1,flow_node_78,USER_LEFT,6,5,1,61.5,0,billing_query,billing_query,0.832,flow_46,v1.0,w2.1,903,desktop,Chrome,ZA,0,,,,TRUE,TRUE,2,0.229,20:22.8
conv_8140f4868c66,user_1610,anon_2bfced4437,acct_89,06:47.8,34:47.8,web_chat,completed,FALSE,,,,,7,2,5,160.4,0,product_info,product_info,0.768,flow_13,v2.0,w1.1,1479,mobile,Chrome,AU,0,,,,FALSE,FALSE,3,0.268,07:37.8
conv_81b817405d05,,anon_fc2fae9343,acct_326,30:42.7,45:36.7,whatsapp,completed,FALSE,,,,,8,3,5,298.6,0,order_status,order_status,0.748,flow_16,v1.0,w2.1,716,desktop,Firefox,IN,0,,,,FALSE,FALSE,5,0.406,40:30.7
conv_06569714aee9,user_832,anon_e27cf15ff8,acct_7,44:38.5,36:59.5,whatsapp,abandoned,TRUE,08:52.5,9,flow_node_4,LONG_BOT_LATENCY,6,1,5,194.3,0,greeting,greeting,0.792,flow_48,v2.0,w1.0,448,mobile,Chrome,AE,0,,,,FALSE,FALSE,,0.434,48:08.5
conv_bdcfa6b13a0c,,anon_b60b25d88f,,43:36.6,33:34.6,web_chat,handed_off,FALSE,,,,,10,4,6,50,1,password_reset,password_reset,0.756,flow_42,v2.1,w1.1,1305,desktop,Chrome,US,0,08:47.6,12:48.6,241,TRUE,FALSE,,0.424,51:25.6
conv_92298ca588bd,user_1953,anon_af7f6b40cd,,36:17.8,57:52.8,sms,escalated,FALSE,,,,,7,4,3,246.5,1,order_status,order_status,0.914,flow_43,v2.1,w1.1,659,mobile,Chrome,AE,0,38:42.8,39:03.8,21,TRUE,FALSE,,0.168,42:36.8
conv_93b79533b8f6,user_2155,anon_3f44eabfca,acct_1050,04:13.3,41:49.3,bot,abandoned,TRUE,15:14.3,9,flow_node_64,FALLBACK,7,2,5,220.7,0,greeting,greeting,0.686,flow_34,v1.0,w1.0,807,desktop,Chrome,DE,0,,,,FALSE,FALSE,5,0.425,11:52.3
conv_1920204d5e66,user_1658,anon_75ca632aab,,29:01.3,51:26.3,bot,timed_out,FALSE,,,,,8,2,6,559.8,0,complaint,complaint,0.484,flow_21,v3.0,w1.0,938,desktop,Chrome,IN,1,,,,TRUE,TRUE,3,0.514,36:59.3
conv_07bda6bff123,user_1524,anon_a9741431a4,acct_472,13:43.4,44:52.4,bot,abandoned,TRUE,30:08.4,2,flow_node_43,FALLBACK,7,1,6,90.4,0,product_info,product_info,0.939,flow_21,v1.1,w2.1,202,desktop,Chrome,ZA,0,,,,TRUE,FALSE,2,0.282,13:46.4
conv_b0e783afcb4e,user_1388,anon_95e6570702,acct_593,00:29.1,42:20.1,whatsapp,completed,FALSE,,,,,4,3,1,225.7,0,billing_query,billing_query,0.789,flow_9,v2.0,w1.1,253,desktop,Safari,US,0,,,,FALSE,FALSE,3,0.702,08:03.1
conv_b7247114bdcf,user_370,anon_2c9659d3c3,acct_406,31:38.3,10:33.3,bot,abandoned,TRUE,42:32.3,6,flow_node_77,LONG_BOT_LATENCY,9,3,6,77.6,0,billing_query,billing_query,0.838,flow_13,v2.1,w1.1,251,desktop,Safari,GB,0,,,,FALSE,FALSE,,0.351,41:32.3
conv_1782eb6dad5c,user_2393,anon_c4d3223557,,04:42.2,09:03.2,web_chat,completed,FALSE,,,,,10,1,9,205.9,0,password_reset,password_reset,0.391,flow_11,v2.0,w1.1,1183,desktop,Firefox,ZA,0,,,,FALSE,FALSE,4,0.051,11:11.2
conv_0ba6a34f530b,,anon_f215ed443a,acct_836,57:48.4,55:26.4,web_chat,abandoned,TRUE,20:55.4,1,flow_node_99,TIMEOUT,12,1,11,177.6,0,complaint,complaint,0.513,flow_26,v2.0,w1.0,1159,desktop,Chrome,AU,0,,,,FALSE,FALSE,,0.186,58:19.4
conv_c648fbc69d8d,user_946,anon_cc6a5473d9,acct_544,01:22.9,32:43.9,web_chat,abandoned,TRUE,23:18.9,7,flow_node_90,FALLBACK,3,5,-2,330.2,0,return_request,return_request,0.47,flow_36,v1.1,w2.1,1016,mobile,Chrome,US,0,,,,TRUE,TRUE,3,0.107,08:14.9
conv_7c1158c54d98,user_1467,anon_e01658adf6,acct_308,03:47.7,13:10.7,web_chat,completed,FALSE,,,,,4,2,2,140.7,0,billing_query,billing_query,0.866,flow_20,v2.0,w1.0,770,desktop,Firefox,IN,0,,,,FALSE,FALSE,1,0.459,05:22.7
conv_f404eb632359,user_1577,anon_ec972fceda,acct_137,26:42.1,07:29.1,web_chat,completed,FALSE,,,,,7,2,5,325.1,0,greeting,greeting,0.747,flow_18,v1.0,w1.0,1179,mobile,Safari,BR,0,,,,FALSE,FALSE,,0.38,33:56.1
conv_038ae5194940,user_854,anon_60e469fec1,acct_105,40:46.6,04:00.6,web_chat,completed,FALSE,,,,,5,1,4,440.4,0,product_info,product_info,0.823,flow_26,v1.0,w1.1,984,mobile,Chrome,US,0,,,,FALSE,FALSE,5,0.365,45:29.6
conv_698250bbf7b5,user_1055,anon_41639ba3ba,acct_296,56:16.8,42:56.8,bot,abandoned,TRUE,02:02.8,8,flow_node_68,LONG_BOT_LATENCY,8,1,7,138.6,0,order_status,order_status,0.869,flow_7,v3.0,w2.0,704,mobile,Firefox,US,0,,,,TRUE,FALSE,5,0.379,58:12.8
conv_0e0f472e00f1,user_1260,anon_1292a29bac,,22:04.8,27:22.8,web_chat,completed,FALSE,,,,,8,2,6,178.5,1,product_info,product_info,0.634,flow_13,v1.1,w1.0,509,desktop,Chrome,ZA,0,,,,FALSE,FALSE,,0.099,25:41.8
conv_8fc3c6ee2411,user_2490,anon_db15cc68cb,acct_1197,40:50.6,26:02.6,web_chat,completed,FALSE,,,,,5,1,4,50,0,complaint,complaint,0.8,flow_30,v2.0,w2.0,675,mobile,Firefox,US,0,,,,FALSE,FALSE,2,0.455,47:04.6
conv_1171d24406ed,user_248,anon_f6dd2605db,acct_846,42:42.1,44:09.1,whatsapp,abandoned,TRUE,59:07.1,10,flow_node_7,FALLBACK,6,4,2,279.5,0,return_request,return_request,0.774,flow_18,v1.1,w1.0,1028,tablet,Chrome,BR,0,,,,FALSE,FALSE,3,0.31,44:25.1
conv_4627641186b8,user_127,anon_937654a9ab,,53:30.4,44:01.4,web_chat,abandoned,TRUE,59:26.4,6,flow_node_74,LONG_QUEUE_WAIT,5,1,4,291.3,0,order_status,order_status,0.483,flow_13,v1.1,w1.1,860,desktop,Safari,IN,0,,,,FALSE,FALSE,,0.352,56:26.4
conv_425187987f61,,anon_b5b33c2d5d,acct_30,16:31.5,42:05.5,bot,abandoned,TRUE,19:56.5,3,flow_node_3,TIMEOUT,7,1,6,50,0,billing_query,billing_query,0.872,flow_30,v1.0,w1.0,753,mobile,Chrome,GB,0,,,,FALSE,FALSE,1,0.317,25:46.5
conv_15d2880ba6a0,user_725,anon_60dfad05bd,acct_434,41:35.1,05:04.1,web_chat,abandoned,TRUE,06:00.1,5,flow_node_50,LONG_QUEUE_WAIT,8,2,6,356.9,0,complaint,complaint,0.672,flow_46,v2.0,w1.0,154,desktop,Chrome,AU,0,,,,FALSE,FALSE,3,0.08,46:04.1
conv_dd38059990d2,user_296,anon_df3b424bfd,,10:46.6,45:54.6,sms,timed_out,FALSE,,,,,6,1,5,153.8,0,password_reset,password_reset,0.755,flow_15,v2.0,w1.1,729,desktop,Chrome,GB,0,,,,FALSE,FALSE,1,0.272,20:16.6
conv_d966ac75e952,,anon_43be6502c9,acct_233,24:58.7,11:21.7,bot,timed_out,FALSE,,,,,5,1,4,50,0,greeting,greeting,0.664,flow_48,v2.1,w1.0,761,mobile,Safari,GB,1,,,,FALSE,FALSE,4,0.031,28:28.7
conv_2695b3febb90,user_1539,anon_7b71c8146c,acct_280,56:00.2,27:58.2,web_chat,escalated,FALSE,,,,,7,4,3,299.9,1,product_info,product_info,0.756,flow_20,v1.1,w1.1,651,mobile,Firefox,AE,0,03:54.2,,,FALSE,FALSE,4,0.365,02:29.2
conv_3b1bc02f14aa,user_1594,anon_ef9c7e416f,acct_638,14:49.3,26:40.3,web_chat,abandoned,TRUE,22:56.3,8,flow_node_22,USER_LEFT,11,4,7,253.9,1,product_info,product_info,0.843,flow_1,v1.0,w2.0,107,mobile,Chrome,DE,0,,,,FALSE,FALSE,2,0.246,20:10.3
conv_69537308f4b9,,anon_6ed05b400a,,59:10.1,40:42.1,bot,completed,FALSE,,,,,10,3,7,343.9,1,billing_query,billing_query,0.705,flow_31,v1.1,w1.0,1111,mobile,Safari,ZA,0,,,,FALSE,FALSE,5,0.351,05:19.1
conv_a93aff7d8e0c,,anon_445f547de9,acct_1199,45:35.6,53:13.6,whatsapp,handed_off,FALSE,,,,,6,4,2,91.8,0,greeting,greeting,0.812,flow_8,v1.0,w1.0,433,mobile,Chrome,GB,0,47:35.6,53:27.6,352,FALSE,FALSE,,0.46,51:49.6
conv_68a7166d6aba,user_2744,anon_3829dde204,,48:58.3,38:51.3,whatsapp,completed,FALSE,,,,,5,6,-1,102.6,0,greeting,greeting,0.503,flow_45,v2.0,w1.1,390,desktop,Chrome,US,1,,,,FALSE,FALSE,,0.253,58:10.3
conv_38f93a84260c,user_1929,anon_ef76a5f081,acct_292,04:01.7,00:55.7,bot,completed,FALSE,,,,,6,6,0,284.7,4,password_reset,password_reset,0.806,flow_32,v1.1,w1.0,407,desktop,Firefox,ZA,0,,,,FALSE,FALSE,,0.26,06:45.7
conv_bea334a842dc,user_1212,anon_1f8c56791a,acct_687,28:21.9,44:06.9,web_chat,completed,FALSE,,,,,7,5,2,50,1,password_reset,password_reset,0.903,flow_14,v1.0,w2.0,826,mobile,Firefox,GB,0,,,,FALSE,FALSE,,0.048,36:38.9
conv_5e797ce1b8d0,user_398,anon_d2d743af23,acct_28,34:14.3,05:29.3,web_chat,completed,FALSE,,,,,6,2,4,497.8,0,complaint,complaint,0.629,flow_45,v1.1,w2.0,662,mobile,Safari,GB,0,,,,FALSE,FALSE,,0.491,42:09.3
conv_ca3d8118f38b,user_2061,anon_905890a7ae,,55:27.2,14:06.2,web_chat,handed_off,FALSE,,,,,7,3,4,620.4,0,order_status,order_status,0.456,flow_4,v2.0,w1.0,351,mobile,Chrome,ZA,0,14:38.2,,,FALSE,FALSE,2,0.271,56:31.2
conv_de19fb8b7305,user_1176,anon_fb0b3589d1,acct_535,58:03.3,24:14.3,bot,abandoned,TRUE,02:06.3,7,flow_node_23,CLIENT_ERROR,5,1,4,50,0,complaint,complaint,0.874,flow_17,v2.1,w1.0,597,desktop,Chrome,US,1,,,,TRUE,FALSE,,0.601,05:03.3
conv_18212378c310,user_1983,anon_cad2453317,,37:13.0,13:44.0,whatsapp,completed,FALSE,,,,,11,8,3,442.2,1,billing_query,billing_query,0.845,flow_14,v3.0,w1.0,482,desktop,Chrome,BR,1,,,,FALSE,FALSE,,0.626,47:11.0
conv_0c9f5a99dd52,,anon_6695261f3b,,08:32.1,30:23.1,web_chat,abandoned,TRUE,33:20.1,7,flow_node_51,CLIENT_ERROR,11,3,8,50,0,complaint,complaint,0.747,flow_44,v2.1,w1.1,1187,mobile,Chrome,DE,1,,,,TRUE,FALSE,,0.284,10:47.1
conv_6ef235f881f1,user_1992,anon_5275fc3e58,,48:51.2,33:08.2,web_chat,completed,FALSE,,,,,10,6,4,362.4,0,greeting,greeting,0.773,flow_5,v2.0,w1.0,902,desktop,Safari,GB,1,,,,FALSE,FALSE,,0.222,51:11.2
conv_b82d6a9d662c,user_2586,anon_b05ec2ece3,acct_15,15:11.3,20:24.3,web_chat,completed,FALSE,,,,,3,2,1,160.9,0,complaint,complaint,0.703,flow_37,v1.0,w1.1,764,desktop,Chrome,SG,0,,,,TRUE,TRUE,2,0.069,22:17.3
conv_c4cb190eca51,user_2908,anon_c320d44328,,01:13.7,05:31.7,web_chat,abandoned,TRUE,04:23.7,1,flow_node_28,LONG_QUEUE_WAIT,9,1,8,357.3,0,password_reset,password_reset,0.951,flow_23,v1.0,w1.0,419,mobile,Chrome,GB,0,,,,FALSE,FALSE,4,0.321,03:07.7
conv_72d4ce2f8e78,user_226,anon_7bdcd793f0,acct_1004,45:14.5,00:19.5,whatsapp,abandoned,TRUE,50:17.5,4,flow_node_42,LONG_QUEUE_WAIT,9,3,6,175.3,0,product_info,product_info,0.664,flow_44,v2.1,w1.0,1097,desktop,Chrome,IN,1,,,,TRUE,FALSE,1,0.254,51:38.5
conv_3f7081806f07,user_1177,anon_7f93fceda5,acct_368,41:16.2,49:40.2,whatsapp,completed,FALSE,,,,,14,4,10,239.3,0,return_request,return_request,0.638,flow_16,v1.0,w2.0,259,mobile,Chrome,GB,1,,,,FALSE,FALSE,5,0.323,47:54.2
conv_10ffb1e5c233,,anon_3d987696c2,,54:33.7,15:29.7,bot,abandoned,TRUE,11:59.7,5,flow_node_10,LONG_QUEUE_WAIT,4,1,3,50,0,complaint,complaint,0.644,flow_31,v1.0,w1.0,753,desktop,Chrome,IN,0,,,,FALSE,FALSE,,0.013,04:10.7
conv_efb1fb46a9ef,user_2965,anon_0df8c0bba1,acct_925,58:12.4,46:07.4,web_chat,completed,FALSE,,,,,5,3,2,771.9,0,billing_query,billing_query,0.667,flow_19,v2.1,w1.1,985,desktop,Firefox,DE,0,,,,TRUE,FALSE,1,0.139,02:30.4
conv_3b0fd7776807,user_2751,anon_34cc38f257,acct_512,59:59.9,15:02.9,web_chat,completed,FALSE,,,,,8,3,5,50,0,product_info,product_info,0.835,flow_5,v1.0,w2.1,2380,mobile,Chrome,DE,0,,,,FALSE,FALSE,5,0.513,00:29.9
